id,DipDirecti,X,Y
"2",West,317353.644,4381646.576
"2",West,320072.105,4386339.586
"2",West,321142.096,4388133.879
"2",West,321833.475,4389417.868
"2",West,322047.473,4389878.787
"2",West,322343.778,4390158.631
"2",West,322738.852,4390553.705
"2",West,323002.234,4390850.010
"2",West,323035.157,4390915.855
"3",West,317419.497,4380214.288
"3",West,317932.123,4381039.015
"3",West,320154.412,4384512.371
"3",West,320253.181,4384709.908
"3",West,320565.947,4384989.751
"3",West,320878.714,4385286.057
"3",West,321998.089,4386306.663
"3",West,322195.626,4386537.123
"3",West,322475.470,4386899.274
"3",West,322640.084,4387113.272
"3",West,322887.005,4387376.654
"3",West,323232.694,4387903.419
"3",West,323545.461,4388265.570
"3",West,323907.611,4388742.951
"3",West,324664.836,4389697.712
"3",West,324862.373,4389928.171
"3",West,325257.446,4390208.015
"3",West,325784.211,4390603.089
"3",West,326146.362,4390882.933
"5",West,320533.024,4380841.479
"5",West,321323.172,4382685.155
"5",West,321520.708,4383146.075
"5",West,321685.322,4383409.457
"5",West,321882.859,4383771.608
"5",West,322080.396,4384034.990
"5",West,322426.085,4384644.062
"5",West,322837.620,4385302.518
"5",West,322985.773,4385565.900
"5",West,323282.078,4386043.281
"5",West,323479.615,4386290.202
"5",West,323858.227,4386685.276
"5",West,324384.992,4387409.577
"5",West,324944.680,4388068.033
"5",West,325175.139,4388380.800
"5",West,325224.523,4388446.645
"6",West,321339.633,4380775.633
"6",West,322277.933,4382010.238
"6",West,322689.468,4382701.617
"6",West,323133.926,4383524.687
"6",West,323479.615,4384248.988
"6",West,323891.150,4384775.753
"6",West,324384.992,4385450.671
"6",West,324961.141,4387294.347
"6",West,325158.678,4388100.956
"6",West,325306.830,4388594.798
"6",West,325767.750,4389500.175
"6",West,326113.439,4390158.631
"6",West,326278.053,4390586.627
"6",West,326360.360,4390915.855
"7",East,322691.738,4379191.217
"7",East,322799.081,4379647.423
"7",East,322906.424,4379969.451
"7",East,323080.856,4380492.747
"7",East,323228.452,4380935.535
"7",East,323523.644,4381619.844
"7",East,323751.747,4382089.469
"7",East,324020.104,4382518.839
"7",East,324288.461,4383042.135
"7",East,324583.653,4383525.177
"7",East,324932.517,4384088.726
"7",East,325214.291,4384612.021
"7",East,325670.497,4385350.002
"7",East,326032.779,4385886.715
"7",East,326462.149,4386571.025
"7",East,326770.760,4387054.067
"7",East,326958.609,4387322.423
"7",East,327092.788,4387496.855
"7",East,327374.562,4387778.630
"7",East,327777.097,4388194.582
"7",East,328032.036,4388489.775
"7",East,328340.646,4388825.221
"7",East,328528.496,4389080.159
"7",East,328662.674,4389254.591
"4",West,318532.210,4378976.531
"4",West,318800.567,4379607.170
"4",West,319055.506,4380090.212
"4",West,319243.355,4380600.089
"4",West,319404.369,4381016.042
"4",West,319578.801,4381458.830
"4",West,319699.562,4381874.783
"4",West,319780.069,4382398.079
"4",West,319887.411,4383458.088
"4",West,319954.501,4384048.472
"4",West,319954.501,4384196.068
