id,DipDirecti,X,Y
19,SS,322152.429,4380016.17
19,SS,321640.422,4380361.774
19,SS,321307.618,4380643.378
19,SS,321000.413,4381014.583
19,SS,320834.011,4381398.588
19,SS,320693.209,4381833.794
19,SS,320603.608,4382307.401
19,SS,320501.207,4382717.006
19,SS,320450.006,4382947.409
19,SS,320373.205,4383126.612
19,SS,320232.403,4383382.615
19,SS,320155.602,4383536.217
19,SS,319976.4,4383792.221
19,SS,319809.997,4383920.223
19,SS,319579.594,4384163.426
19,SS,319425.992,4384304.228
19,SS,319195.589,4384496.23
20,West,321422.819,4382409.802
20,West,321320.418,4382653.005
20,West,321051.614,4383049.811
20,West,320706.009,4383472.217
20,West,320437.206,4383715.42
20,West,320091.601,4384073.825
20,West,319950.799,4384278.628
20,West,319733.196,4384649.833
20,West,319592.394,4384893.036
20,West,319528.393,4384995.437
21,West,318606.781,4384176.226
21,West,318645.182,4384419.429
21,West,318849.984,4384649.833
21,West,319041.987,4384841.835
21,West,319233.99,4385110.639
21,West,319451.592,4385353.842
21,West,319579.594,4385545.845
21,West,319694.796,4385750.648
21,West,319822.797,4386006.651
21,West,319925.199,4386198.654
21,West,320027.6,4386301.055
22,West,321525.221,4381705.793
22,West,321525.221,4381974.596
22,West,321602.022,4382192.199
22,West,321845.225,4382512.204
22,West,322075.628,4382845.008
22,West,322357.232,4383152.212
22,West,322510.834,4383331.415
22,West,322587.635,4383485.017
22,West,322792.438,4383817.821
22,West,322971.64,4383997.024
22,West,323150.843,4384163.426
22,West,323342.845,4384381.029
22,West,323573.248,4384573.032
22,West,323624.449,4384649.833
13,East,323394.046,4381897.795
13,East,323445.247,4382089.798
13,East,323470.847,4382333.001
13,East,323547.648,4382653.005
13,East,323598.849,4382934.609
13,East,323675.65,4383126.612
13,East,323944.453,4383446.616
13,East,324379.659,4383958.623
13,East,324648.463,4384329.828
13,East,325019.668,4384726.634
13,East,325454.874,4385059.438
13,East,325800.479,4385174.64
13,East,326146.083,4385341.042
13,East,326210.084,4385341.042
15,West,320578.008,4384598.632
15,West,321090.015,4385289.841
15,West,321525.221,4385814.648
15,West,322075.628,4386531.458
15,West,322562.035,4387145.866
15,West,322792.438,4387491.471
15,West,322805.238,4387555.472
15,West,322830.838,4387760.275
15,West,322830.838,4387837.076
15,West,322894.839,4387952.277
15,West,323022.841,4388182.681
15,West,323176.443,4388323.482
15,West,323419.646,4388566.686
15,West,323675.65,4388835.489
15,West,324034.055,4389309.096
15,West,324494.861,4390051.506
15,West,324546.062,4390179.508
15,West,324558.862,4390294.709
15,West,324750.864,4390755.515
15,West,324866.066,4391062.72
15,West,324942.867,4391318.723
16,West,320898.012,4384483.43
16,West,321870.825,4385277.041
16,West,321998.827,4385456.244
16,West,322114.029,4385648.246
16,West,322242.03,4385776.248
16,West,322370.032,4385904.25
16,West,322498.034,4386045.052
16,West,322690.036,4386441.857
16,West,322907.639,4386774.661
16,West,323074.042,4386953.864
16,West,323202.043,4387030.665
16,West,323240.444,4387094.666
16,West,323240.444,4387184.267
16,West,323278.844,4387312.269
16,West,323803.652,4388105.879
16,West,323995.654,4388310.682
16,West,324558.862,4388861.09
16,West,324853.266,4389181.094
16,West,324981.268,4389398.697
16,West,325019.668,4389526.699
16,West,325147.67,4389744.302
16,West,325275.672,4389949.105
16,West,325403.673,4390409.911
