id,DipDirecti,Zone,X,Y
"21",East,SouthEast,322304.870,"4379211"
"21",East,SouthEast,321671.281,"4378465"
"21",East,SouthEast,321335.852,"4377925"
"20",West,MidMid,325416.906,"4386907"
"20",West,MidMid,323609.316,"4385025"
"20",West,MidMid,322603.029,"4383832"
"20",West,MidMid,321522.202,"4382472"
"20",West,MidMid,320497.280,"4381372"
"20",West,MidMid,319845.057,"4380776"
"19",West,MidMid,324801.952,"4388454"
"19",West,MidMid,323460.236,"4386292"
"19",West,MidMid,322733.473,"4384839"
"19",West,MidMid,321745.821,"4382882"
"19",West,MidMid,321112.233,"4382341"
"18",West,NorthEast,326590.907,"4390522"
"18",West,NorthEast,326013.224,"4388528"
"18",West,NorthEast,325286.461,"4387466"
"18",West,NorthEast,324746.047,"4386982"
"18",West,NorthEast,324596.968,"4386423"
"18",West,NorthEast,324522.428,"4385789"
"17",East,NorthEast,323665.221,"4388267"
"17",East,NorthEast,324336.079,"4386460"
"17",East,NorthEast,324615.603,"4385621"
"17",East,NorthEast,325081.477,"4384913"
"17",East,NorthEast,325193.286,"4384671"
"17",East,NorthEast,325323.731,"4384186"
"15",East,MidWest,317962.927,"4381838"
"15",East,MidWest,318894.675,"4383646"
"15",East,MidWest,319528.263,"4384429"
"15",East,MidWest,320646.359,"4386292"
"15",East,MidWest,321056.328,"4386907"
"14",East,NorthMid,323646.586,"4390336"
"14",East,NorthMid,322081.250,"4388305"
"14",East,NorthMid,321186.773,"4387429"
"14",East,NorthMid,320646.359,"4386795"
"14",East,NorthMid,320273.661,"4386441"
"13",West,SouthMid,319081.024,"4384783"
"13",West,SouthMid,321279.948,"4383329"
"13",West,SouthMid,322006.710,"4383217"
"13",West,SouthMid,323162.077,"4382714"
"13",West,SouthMid,324224.269,"4382230"
"13",West,SouthMid,325416.906,"4381540"
"12",East,SouthMid,318801.500,"4384112"
"12",East,SouthMid,320478.645,"4383217"
"12",East,SouthMid,321689.916,"4382379"
"12",East,SouthMid,321913.536,"4381838"
"12",East,SouthMid,322882.553,"4381056"
"12",East,SouthMid,324578.333,"4380534"
"12",East,SouthMid,325118.746,"4380236"
"11",West,MidMid,324373.349,"4385081"
"11",West,MidMid,323795.665,"4385752"
"11",West,MidMid,323441.601,"4386721"
"11",West,MidMid,323199.347,"4387336"
"11",West,MidMid,323124.807,"4387485"
"1",West,MidMid,322863.918,"4386162"
"1",West,MidMid,322062.615,"4384410"
"1",West,MidMid,321578.107,"4383720"
"1",West,MidMid,321019.058,"4382491"
"34",West,MidWest,320832.709,"4386124"
"34",West,MidWest,320255.026,"4384596"
"34",West,MidWest,319975.501,"4383422"
"34",West,MidWest,320031.406,"4382360"
"34",West,MidWest,319826.422,"4381149"
"34",West,MidWest,319826.422,"4381074"
"35",East,NorthMid,321615.377,"4383422"
"35",East,NorthMid,321130.868,"4385304"
"35",East,NorthMid,320907.249,"4386068"
"35",East,NorthMid,320571.820,"4386944"
"35",East,NorthMid,320161.851,"4387857"
"35",East,NorthMid,320012.771,"4388416"
"35",East,NorthMid,319863.692,"4388603"
"36",West,MidWest,321391.757,"4387336"
"36",West,MidWest,320273.661,"4385081"
"36",West,MidWest,319882.327,"4384466"
"36",West,MidWest,319397.818,"4383255"
"36",West,MidWest,319304.643,"4381447"
"36",West,MidWest,319062.389,"4380683"
"37",East,Southwest,325696.430,"4385472"
"37",East,Southwest,324820.587,"4383124"
"37",East,Southwest,324466.523,"4382565"
"37",East,Southwest,324112.459,"4381708"
"37",East,Southwest,323888.840,"4381186"
"38",West,NorthEast,326199.573,"4390429"
"38",West,NorthEast,325994.589,"4389441"
"38",West,NorthEast,325752.335,"4389143"
"38",West,NorthEast,325510.080,"4388677"
"38",West,NorthEast,325267.826,"4388100"
"38",West,NorthEast,325006.937,"4387615"
"38",West,NorthEast,324690.143,"4387056"
"38",West,NorthEast,324615.603,"4386851"
"38",West,NorthEast,324615.603,"4386851"
"38",West,NorthEast,324615.603,"4386851"
"38",West,NorthEast,324615.603,"4386851"
"39",West,MidMid,326069.129,"4385360"
"39",West,MidMid,323963.380,"4384559"
"39",West,MidMid,323031.632,"4384186"
"39",West,MidMid,321224.043,"4383497"
"39",West,MidMid,321261.313,"4383609"
"40",East,NorthEast,324373.349,"4389758"
"40",East,NorthEast,323627.951,"4387988"
"40",East,NorthEast,323068.902,"4387019"
"40",East,NorthEast,322658.934,"4386311"
"41",East,NorthEast,324037.920,"4388323"
"41",East,NorthEast,323180.712,"4385752"
"41",East,NorthEast,322789.378,"4383963"
