id,DipDirecti,X,Y
"9",West,321555.597,4382141.192
"9",West,322399.635,4383127.121
"9",West,322467.193,4383573.006
"9",West,322474.487,4384438.417
"9",West,322495.371,4384814.327
"9",West,322537.138,4385169.353
"9",West,322599.790,4385524.378
"9",West,322704.209,4385962.939
"9",West,322871.280,4386338.849
"8",West,323351.609,4385336.424
"8",West,323372.493,4385774.985
"8",West,323372.493,4386255.314
"8",West,323497.796,4387132.436
"7",West,317947.584,4384992.298
"7",West,321017.773,4388605.282
"6",East,319287.730,4379820.986
"6",East,319436.358,4380010.150
"6",East,319557.963,4380388.476
"6",East,319598.498,4380861.384
"6",East,319584.987,4381145.129
"6",East,319490.405,4381401.851
"6",East,319328.265,4381631.549
"6",East,319071.543,4381955.829
"6",East,318855.357,4382334.156
"6",East,318841.845,4382793.552
"6",East,318963.450,4383388.065
"6",East,319193.148,4383874.485
"6",East,319449.870,4384239.300
"6",East,319720.103,4384712.208
"6",East,320138.965,4385279.698
"6",East,320395.687,4385685.048
"6",East,320611.873,4385901.235
"6",East,320922.641,4386671.400
"6",East,321355.015,4387522.635
"6",East,321638.760,4388292.799
"6",East,321665.783,4388427.916
"6",East,321733.341,4388617.079
"5",East,319990.337,4379631.823
"5",East,320544.315,4380266.871
"5",East,320679.431,4380483.058
"5",East,320746.990,4380685.733
"5",East,320828.060,4380928.943
"5",East,320841.571,4381212.688
"5",East,320787.525,4381536.968
"5",East,320706.455,4381834.224
"5",East,320679.431,4382090.946
"5",East,320652.408,4382428.737
"5",East,320706.455,4383077.297
"5",East,320774.013,4383455.624
"5",East,320882.106,4383806.927
"5",East,321111.805,4384252.812
"5",East,321327.991,4384793.278
"5",East,321449.596,4385401.303
"5",East,321368.526,4385725.583
"5",East,321179.363,4386130.933
"5",East,321111.805,4386455.213
"5",East,321030.735,4386738.958
"5",East,321030.735,4386901.098
"4",East,323260.159,4381010.013
"4",East,324381.627,4382820.576
"4",East,324705.907,4383347.530
"4",East,324868.047,4384131.207
"4",East,325111.257,4385347.257
"4",East,325178.815,4386009.328
"4",East,325246.374,4386603.841
"3",West,322989.926,4382253.086
"3",West,323152.066,4383320.507
"3",West,323273.671,4383820.439
"3",West,323368.253,4384279.835
"3",West,323773.602,4384685.185
"3",West,323949.254,4384860.837
"3",West,324192.464,4385104.047
"3",West,324435.674,4385495.885
"3",West,324597.814,4385968.793
"3",West,324732.931,4386522.771
"3",West,324962.629,4386995.680
"3",West,325070.722,4387319.960
"3",West,325151.792,4387468.588
"3",West,325286.909,4387860.426
"3",West,325327.444,4388022.566
"2",West,325286.909,4386941.633
"2",West,325395.002,4387360.495
"2",West,325584.165,4387549.658
"2",West,325854.399,4387644.240
"2",West,326003.027,4387738.821
"2",West,326273.260,4387860.426
"2",West,326354.330,4387873.938
"2",West,326597.540,4387806.379
"2",West,326908.308,4387482.100
"2",West,327097.472,4387468.588
"2",West,327421.752,4387387.518
"2",West,327691.985,4387333.471
"2",West,327921.683,4387117.285
"2",West,327962.218,4387090.261
"1",East,324264.245,4385640.291
"1",East,324331.803,4386005.106
"1",East,324264.245,4386207.781
"1",East,324142.640,4386315.874
"1",East,324021.035,4386559.084
"1",East,324021.035,4386775.271
