id,DipDirecti,X,Y
"13",West,321628.377,4388716.094
"13",West,317860.313,4384658.178
"6",East,319798.692,4384766.873
"6",East,318403.783,4383136.460
"9",West,319834.923,4381053.155
"9",West,318077.701,4378390.147
"10",West,321474.394,4385663.600
"10",West,322416.410,4386587.500
"10",West,322887.418,4387094.740
"10",West,323358.426,4387547.632
"10",West,324010.591,4388344.723
"10",West,324282.327,4388906.309
"1",East,325097.533,4385337.517
"1",East,325278.690,4386261.418
"1",East,325477.963,4386804.888
"1",East,325840.277,4387167.202
"1",East,326220.706,4387475.169
"1",East,326510.558,4387620.095
"1",East,326927.219,4387565.748
"1",East,327198.954,4387493.285
"1",East,327615.615,4387348.359
"12",West,321764.245,4382257.849
"12",West,322054.096,4382783.204
"12",West,322362.063,4383236.096
"12",West,322525.104,4383598.410
"12",West,322561.336,4383779.567
"12",West,322651.914,4384051.303
"12",West,322796.840,4384341.154
"12",West,322869.303,4384504.195
"12",West,323050.460,4384667.236
"12",West,323394.658,4385047.666
"12",West,323666.393,4385174.476
"12",West,323974.360,4385319.401
"12",West,324409.137,4385699.831
"12",West,324590.294,4386116.492
"12",West,324843.913,4386750.541
"12",West,325043.186,4387275.897
"12",West,325206.227,4387728.789
"12",West,325260.575,4387928.062
"12",West,325333.037,4388163.566
"12",West,325333.037,4388272.260
"12",West,325387.384,4388453.417
"12",West,325532.310,4388761.384
"12",West,325713.467,4388978.772
"12",West,325948.971,4389268.623
"12",West,326166.359,4389540.359
"12",West,326347.516,4389957.020
"12",West,326365.632,4390138.177
"3",East,324391.021,4385663.600
"3",East,324300.443,4386080.261
"3",East,324101.170,4386333.880
"3",East,323901.897,4386823.004
"3",East,323956.244,4387203.434
"3",East,323956.244,4387457.053
"4",East,320677.303,4381605.684
"4",East,320641.072,4382638.278
"4",East,320586.725,4383163.633
"4",East,320586.725,4383326.675
"11",West,321220.774,4380718.014
"11",West,321220.774,4381116.560
"11",West,321220.774,4381641.915
"11",West,321311.353,4382022.345
"11",West,321329.468,4382294.080
"5",East,323992.476,4380826.709
"5",East,323992.476,4381533.221
"5",East,324300.443,4382475.237
"5",East,324499.715,4382982.476
"5",East,325006.955,4383743.336
"5",East,325351.153,4384413.616
"5",East,325550.426,4384667.236
"8",SS,327724.309,4377185.454
"8",SS,324517.831,4379359.337
"8",SS,322434.526,4380428.163
"8",SS,321782.361,4380917.287
"8",SS,321764.245,4381605.684
"8",SS,321818.592,4381949.882
"2",East,322506.989,4381949.882
"2",East,322688.146,4382728.857
"2",East,322905.534,4383616.526
"2",East,322996.112,4383924.493
"7",East,320785.997,4383725.220
"7",East,321184.543,4384594.773
"7",East,321311.353,4385156.360
"7",East,321311.353,4385228.823
