VALUE,X,Y
180.53866577,322040.671,4386563.84
240.48216248,322312.711,4386563.84
367.71310425,322584.751,4386563.84
367.57199097,322856.791,4386563.84
369.74304199,323128.831,4386563.84
322.75997925,323400.871,4386563.84
321.34347534,323672.911,4386563.84
474.7583313,323944.951,4386563.84
519.03271484,324216.991,4386563.84
486.98898315,324489.031,4386563.84
569.11376953,324761.071,4386563.84
662.03942871,325033.111,4386563.84
57.04930115,317688.031,4386291.8
-14.58956909,317960.071,4386291.8
-59.70111084,318232.111,4386291.8
-94.59112549,318504.151,4386291.8
-48.01950073,318776.191,4386291.8
15.515625,319048.231,4386291.8
100.90255737,319320.271,4386291.8
224.29724121,319592.311,4386291.8
402.73434448,319864.351,4386291.8
683.70947266,320136.391,4386291.8
787.88464355,320408.431,4386291.8
370.78097534,320680.471,4386291.8
179.77861023,320952.511,4386291.8
172.47564697,321224.551,4386291.8
179.84786987,321496.591,4386291.8
202.80406189,321768.631,4386291.8
171.7611084,322040.671,4386291.8
170.5103302,322312.711,4386291.8
176.82681274,322584.751,4386291.8
213.79902649,322856.791,4386291.8
133.0144043,323128.831,4386291.8
202.21458435,323400.871,4386291.8
283.91610718,323672.911,4386291.8
509.0512085,323944.951,4386291.8
522.69165039,324216.991,4386291.8
582.02606201,324489.031,4386291.8
630.21166992,324761.071,4386291.8
698.84283447,325033.111,4386291.8
3.63134766,317688.031,4386019.76
-45.32977295,317960.071,4386019.76
-65.55545044,318232.111,4386019.76
-57.60638428,318504.151,4386019.76
31.39924622,318776.191,4386019.76
147.48690796,319048.231,4386019.76
290.17352295,319320.271,4386019.76
480.83660889,319592.311,4386019.76
676.07263184,319864.351,4386019.76
847.96832275,320136.391,4386019.76
562.66381836,320408.431,4386019.76
238.76522827,320680.471,4386019.76
209.40130615,320952.511,4386019.76
225.86538696,321224.551,4386019.76
232.05909729,321496.591,4386019.76
181.00909424,321768.631,4386019.76
128.48121643,322040.671,4386019.76
49.63587952,322312.711,4386019.76
9.37915039,322584.751,4386019.76
29.72787476,322856.791,4386019.76
17.324646,323128.831,4386019.76
186.72947693,323400.871,4386019.76
417.53579712,323672.911,4386019.76
543.58691406,323944.951,4386019.76
526.35375977,324216.991,4386019.76
610.36987305,324489.031,4386019.76
674.2064209,324761.071,4386019.76
704.48223877,325033.111,4386019.76
-43.0138855,317688.031,4385747.72
-64.11572266,317960.071,4385747.72
-53.21408081,318232.111,4385747.72
-6.31982422,318504.151,4385747.72
128.47798157,318776.191,4385747.72
275.36572266,319048.231,4385747.72
424.81814575,319320.271,4385747.72
589.63134766,319592.311,4385747.72
709.65966797,319864.351,4385747.72
532.44464111,320136.391,4385747.72
154.04150391,320408.431,4385747.72
129.93421936,320680.471,4385747.72
208.57357788,320952.511,4385747.72
190.34381104,321224.551,4385747.72
165.4564209,321496.591,4385747.72
156.25030518,321768.631,4385747.72
69.12677002,322040.671,4385747.72
-99.22253418,322312.711,4385747.72
-109.19647217,322584.751,4385747.72
-122.58712769,322856.791,4385747.72
-86.42871094,323128.831,4385747.72
127.50828552,323400.871,4385747.72
398.52484131,323672.911,4385747.72
441.7467041,323944.951,4385747.72
412.23840332,324216.991,4385747.72
569.41088867,324489.031,4385747.72
610.74938965,324761.071,4385747.72
628.16357422,325033.111,4385747.72
-55.57626343,317688.031,4385475.68
-54.27825928,317960.071,4385475.68
-12.67236328,318232.111,4385475.68
70.81082153,318504.151,4385475.68
238.57702637,318776.191,4385475.68
412.76568604,319048.231,4385475.68
501.29721069,319320.271,4385475.68
588.32867432,319592.311,4385475.68
478.94732666,319864.351,4385475.68
87.84060669,320136.391,4385475.68
2.29949951,320408.431,4385475.68
154.16912842,320680.471,4385475.68
200.56465149,320952.511,4385475.68
144.2572937,321224.551,4385475.68
100.71043396,321496.591,4385475.68
197.14508057,321768.631,4385475.68
20.67022705,322040.671,4385475.68
-169.7769165,322312.711,4385475.68
-63.40878296,322584.751,4385475.68
-354.78234863,322856.791,4385475.68
-267.57891846,323128.831,4385475.68
33.4581604,323400.871,4385475.68
386.94833374,323672.911,4385475.68
470.56524658,323944.951,4385475.68
