id,DipDirecti,X,Y
"7",West,322965.026,4382139.066
"7",West,322965.026,4382902.093
"7",West,323136.049,4383362.541
"7",West,323267.605,4383730.899
"7",West,323320.228,4384033.478
"7",West,323517.563,4384454.459
"7",West,323714.897,4384638.638
"7",West,324175.345,4385046.463
"7",West,324280.590,4385204.330
"7",West,324359.524,4385388.509
"5",East,324398.990,4385612.155
"5",East,324398.990,4385796.334
"5",East,324320.057,4386072.602
"5",East,324162.189,4386309.404
"5",East,324030.633,4386585.672
"5",East,323964.854,4386967.186
"5",East,324017.477,4387322.388
"5",East,324030.633,4387664.435
"5",East,324135.878,4387914.392
"5",East,324227.967,4388177.505
"5",East,324267.434,4388295.906
"6",West,324464.769,4385704.245
"6",West,324609.481,4386283.093
"6",West,324793.660,4386717.229
"6",West,324977.839,4387151.365
"6",West,325306.730,4387677.591
"6",West,325451.442,4388085.415
"6",West,325675.088,4388532.707
"6",West,325872.422,4388901.065
"6",West,326030.290,4389164.178
"6",West,326122.379,4389295.734
"3",West,318228.995,4379047.491
"3",West,319176.202,4379994.697
"3",West,319465.626,4380310.432
"3",West,319886.606,4380639.323
"3",West,320215.497,4380849.814
"3",West,320768.034,4381362.883
"3",West,320965.369,4381599.685
"3",West,321123.236,4381836.487
"3",West,321215.326,4382060.132
"4",West,319886.606,4381047.148
"4",West,319873.450,4381547.062
"4",West,319755.050,4382086.444
"4",West,319465.626,4382678.447
"4",West,318742.065,4383546.720
"4",West,318492.108,4383849.299
"4",West,318242.151,4384191.346
"4",West,317992.194,4384441.303
"4",West,317216.011,4385020.151
"4",West,317044.988,4385164.863
"4",West,316834.498,4385296.420
"4",West,316545.074,4385467.443
"1",West,319255.135,4383138.895
"1",West,319439.314,4383599.342
"1",West,319807.672,4384257.124
"1",West,320136.563,4384730.727
"1",West,320333.898,4384954.373
"1",West,320478.610,4385151.708
"1",West,320662.789,4385454.287
"1",West,320820.656,4385638.466
"1",West,321083.769,4386125.225
"1",West,321189.014,4386296.248
"1",West,321320.571,4386533.050
"2",West,318150.062,4384388.681
"2",West,318294.774,4384875.439
"2",West,318636.820,4385493.754
"2",West,318794.688,4385704.245
"2",West,318978.867,4385875.268
"2",West,319163.046,4386046.291
"2",West,319307.758,4386217.315
"2",West,319662.960,4386533.050
"2",West,319886.606,4386848.785
"2",West,320110.252,4387138.209
"2",West,320294.431,4387361.855
"2",West,320386.520,4387519.723
"2",West,320623.322,4387782.836
"14",West,319584.026,4388295.906
"14",West,318636.820,4387138.209
"14",West,318150.062,4386611.984
"14",West,317755.392,4386138.381
"14",West,317439.657,4385888.424
"14",West,317176.544,4385677.933
"14",West,316887.120,4385520.066
"14",West,316545.074,4385270.108
"14",West,316439.829,4385217.486
"15",East,320491.766,4381362.883
"15",East,320544.388,4381994.354
"15",East,320583.855,4382717.914
"15",East,320675.944,4383283.607
"15",East,320939.057,4384243.969
"15",East,321281.104,4384928.062
"15",East,321465.283,4385493.754
"15",East,321820.485,4386151.536
"15",East,321873.108,4386269.937
"12",West,321649.462,4385099.085
"12",West,321899.419,4385691.089
"12",West,322175.687,4386440.960
"12",West,322438.800,4386888.252
"12",West,322780.847,4387309.233
"12",West,323043.960,4387651.279
"12",West,323346.539,4388006.481
"12",West,323662.275,4388493.240
"12",West,323938.543,4389111.555
"12",West,324175.345,4389756.182
"12",West,324464.769,4390729.699
"12",West,324622.636,4391242.769
"12",West,324714.726,4391492.726
"13",East,324859.438,4379027.757
"13",East,323885.921,4379356.648
"13",East,323030.804,4379882.874
"13",East,322425.645,4380238.076
"13",East,321136.392,4380948.481
"13",East,320649.633,4381303.683
"13",East,320202.341,4381540.485
"13",East,320070.785,4381658.885
"10",East,323491.251,4380303.855
"10",East,323925.387,4381382.617
"10",East,324227.967,4382171.955
"10",East,324464.769,4382816.582
"10",East,324648.948,4383329.652
"10",East,324898.905,4384000.589
"10",East,325069.928,4384474.192
"10",East,325148.862,4384829.395
"10",East,325188.329,4385145.130
"10",East,325293.574,4385460.865
"10",East,325385.663,4385855.534
"10",East,325556.687,4386342.293
"10",East,325714.554,4386579.095
"10",East,325793.488,4386710.651
"10",East,325898.733,4386815.896
"11",West,323596.496,4387000.075
"11",West,323609.652,4386565.939
"11",West,323662.275,4386079.180
"11",West,323754.364,4385434.554
"11",West,323741.208,4385039.885
"11",West,323649.119,4384763.616
"11",West,323491.251,4384487.348
"8",West,321399.505,4381645.730
"8",West,321517.905,4381790.442
"8",West,321794.174,4382264.045
"8",West,322083.598,4382711.337
"8",West,322412.489,4383277.029
"8",West,322557.201,4383895.344
"8",West,322688.757,4384342.636
"8",West,322780.847,4384789.928
"8",West,322912.403,4385750.289
"8",West,322912.403,4386579.095
"8",West,322912.403,4386789.585
"9",East,319518.248,4378304.197
"9",East,320162.875,4378817.267
"9",East,320439.143,4379185.625
"9",East,320846.968,4379488.205
"9",East,321162.703,4379869.718
"9",East,321491.594,4380119.676
"9",East,321781.018,4380382.788
"9",East,321886.263,4380501.189
"17",East,317308.101,4379185.625
"17",East,317294.945,4379488.205
"17",East,317321.256,4379738.162
"17",East,317387.035,4380080.209
"17",East,317492.280,4380356.477
"17",East,317558.058,4380474.878
"17",East,317676.459,4380606.434
"17",East,317689.614,4380895.858
"17",East,317729.081,4381264.216
"17",East,317755.392,4381698.352
"17",East,317808.015,4382000.932
"17",East,317860.638,4382514.002
"17",East,317873.793,4382948.138
"17",East,317873.793,4383237.562
"17",East,317794.859,4384092.679
"17",East,317794.859,4384368.947
"17",East,317768.548,4384447.881
"17",East,317768.548,4384526.815
"18",East,320899.590,4386026.558
"18",East,320728.567,4386434.383
"18",East,320794.345,4386986.919
"18",East,320899.590,4387526.301
"18",East,321189.014,4388289.328
"18",East,321386.349,4388670.841
"16",East,318018.505,4388512.974
"16",East,317334.412,4387947.281
"16",East,316939.743,4387421.056
"16",East,316702.941,4387105.320
"16",East,316176.716,4386592.250
"16",East,315939.914,4386276.515
"16",East,315874.136,4386184.425
